tiempo (s),señal CH1 (mV),señal CH2 (V)
0.00428,-6.4,-8.8
0.00429,-4.8,-8.8
0.00429,-4.8,-8.8
0.0043,-4.8,-8.8
0.0043,-4.8,-8.8
0.0043,-1.6,-9
0.00431,-3.2,-9
0.00431,-3.2,-9
0.00432,-2.4,-9
0.00432,-2.4,-8.8
0.00432,-1.6,-9
0.00434,0.8,-8.8
0.00434,0.8,-9
0.00434,2.4,-8.8
0.00435,2.4,-8.8
0.00435,4.8,-9
0.00436,3.2,-8.8
0.00436,4.8,-9
0.00436,4,-8.8
0.00437,6.4,-8.8
0.00437,7.2,-8.8
0.00438,7.2,-8.8
0.00438,7.2,-9
0.00438,8.8,-9
0.00439,9.6,-9
0.00439,8.8,-8.8
0.0044,9.6,-9
0.0044,10.4,-8.8
0.0044,9.6,-9
0.00441,12,-9
0.00441,11.2,-9
0.00441,12,-9
0.00442,12,-8.8
0.00442,12,-8.6
0.00443,12,-9
0.00443,12.8,-8.8
0.00444,13.6,-9
0.00444,15.2,-9
0.00444,16,-9
0.00445,15.2,-8.8
0.00445,15.2,-9
0.00445,15.2,-9
0.00446,17.6,-8.8
0.00446,16.8,-8.8
0.00447,16.8,-8.8
0.00447,17.6,-8.8
0.00448,19.2,-9
0.00448,18.4,-8.8
0.00448,20.8,-8.8
0.00449,21.6,-9
0.00449,21.6,-9
0.00449,21.6,-9
0.0045,23.2,-9
0.0045,24,-9
0.00451,24.8,-9
0.00451,23.2,-8.8
0.00451,25.6,-9
0.00452,25.6,-9
0.00452,27.2,-8.8
0.00453,25.6,-8.8
0.00453,26.4,-8.8
0.00454,26.4,-8.8
0.00454,27.2,-8.8
0.00454,29.6,-9
0.00455,28.8,-8.8
0.00455,30.4,-8.8
0.00456,28,-8.8
0.00456,30.4,-9
0.00456,31.2,-9
0.00457,31.2,-9
0.00457,30.4,-8.8
0.00458,32.8,-9
0.00458,32,-9
0.00458,34.4,-8.8
0.00459,34.4,-9
0.00459,35.2,-8.8
0.0046,35.2,-9
0.0046,36.8,-8.8
0.0046,36.8,-8.8
0.00461,38.4,-9
0.00461,38.4,-9
0.00462,40,-9
0.00462,40,-8.8
0.00462,41.6,-9
0.00463,40.8,-9
0.00463,42.4,-8.8
0.00464,43.2,-9
0.00464,43.2,-9
0.00464,44,-9
0.00465,44,-9
0.00465,44.8,-9
0.00466,45.6,-8.8
0.00466,44,-8.8
0.00466,44,-8.8
0.00467,44,-9
0.00467,45.6,-9
0.00468,44.8,-9
0.00468,44.8,-8.8
0.00468,47.2,-9
0.00469,46.4,-9
0.00469,46.4,-9
0.0047,45.6,-9
0.0047,45.6,-8.8
0.0047,44.8,-9
0.00471,46.4,-9
0.00471,44.8,-9
0.00471,47.2,-9
0.00472,46.4,-9
0.00472,46.4,-9.2
0.00473,46.4,-9
0.00473,48.8,-8.6
0.00473,47.2,-9
0.00474,48,-9
0.00474,46.4,-8.8
0.00475,49.6,-9
0.00475,48,-9
0.00475,49.6,-9
0.00476,48,-9
0.00476,49.6,-9
0.00477,49.6,-9
0.00477,50.4,-9
0.00477,48.8,-9
0.00478,49.6,-8.8
0.00478,49.6,-8.8
0.00479,50.4,-8.8
0.00479,49.6,-9
0.00479,49.6,-9
0.0048,49.6,-9
0.0048,50.4,-8.8
0.00481,50.4,-9
0.00481,49.6,-9
0.00481,49.6,-8.8
0.00482,49.6,-8.8
0.00482,49.6,-9
0.00483,49.6,-9
0.00483,50.4,-8.8
0.00483,48.8,-9
0.00484,49.6,-9
0.00484,48.8,-8.8
0.00485,48.8,-9
0.00485,48.8,-9
0.00485,49.6,-9
0.00486,49.6,-9
0.00486,48.8,-9.2
0.00487,48.8,-9
0.00487,48.8,-9
0.00488,49.6,-8.8
0.00488,49.6,-8.8
0.00488,48.8,-9
0.00489,49.6,-9
0.00489,48.8,-9
0.0049,48.8,-9
0.0049,48,-8.8
0.0049,48,-9
0.00491,47.2,-9
0.00491,48,-8.8
0.00492,48.8,-9
0.00492,48,-9
0.00492,48,-9
0.00493,46.4,-9
0.00493,47.2,-9
0.00494,46.4,-8.8
0.00494,46.4,-8.8
0.00494,44.8,-9
0.00495,45.6,-9
0.00495,44,-9
0.00496,42.4,-9
0.00496,44,-9
0.00496,43.2,-9
0.00497,43.2,-9
0.00497,43.2,-8.8
0.00498,40.8,-8.8
0.00498,41.6,-9
0.00498,40,-9
0.00499,41.6,-8.8
0.00499,40,-9
0.005,40.8,-9
0.005,39.2,-9
0.005,37.6,-9
0.00501,38.4,-8.8
0.00501,37.6,-8.8
0.00502,36,-9
0.00502,37.6,-9
0.00502,36.8,-9
0.00503,36.8,-9
0.00503,35.2,-9
0.00504,37.6,-9
0.00504,35.2,-9
0.00504,34.4,-9
0.00505,34.4,-9
0.00505,35.2,-9
0.00505,36,-8.8
0.00506,34.4,-9
0.00506,34.4,-9
0.00507,33.6,-9
0.00507,34.4,-9
0.00507,34.4,-9
0.00508,34.4,-8.8
0.00508,33.6,-9
0.00509,32.8,-9
0.00509,32.8,-9
0.00509,34.4,-8.8
0.0051,34.4,-9
0.0051,32.8,-9
0.00511,34.4,-9
0.00511,35.2,-9
0.00511,34.4,-9
0.00512,38.4,-8.8
0.00512,38.4,-9
0.00513,40,-9
0.00513,40,-9
0.00513,42.4,-9
0.00514,40,-8.8
0.00514,45.6,-9
0.00515,45.6,-9
0.00515,48.8,-8.8
0.00515,49.6,-9
0.00516,51.2,-9
0.00516,52.8,-9
0.00517,54.4,-9
0.00517,55.2,-9
0.00517,57.6,-9
0.00518,60,-8.8
0.00518,61.6,-8.8
0.00519,63.2,-9
0.00519,66.4,-9
0.0052,66.4,-9
0.0052,68.8,-8.6
0.0052,70.4,-9
0.00521,70.4,-9
0.00521,72,-9
0.00522,72.8,-9
0.00522,73.6,-9
0.00522,74.4,-9
0.00523,75.2,-9
0.00523,76.8,-9
0.00524,78.4,-9.2
0.00524,76.8,-9
0.00524,77.6,-9
0.00525,76.8,-9
0.00525,79.2,-8.8
0.00526,78.4,-8.8
0.00526,79.2,-9
0.00526,77.6,-8.8
0.00527,79.2,-8.8
0.00527,77.6,-8.8
0.00528,77.6,-8.8
0.00528,75.2,-8.8
0.00528,75.2,-8.8
0.00529,75.2,-9
0.00529,74.4,-8.8
0.0053,72.8,-9
0.0053,72.8,-9
0.0053,71.2,-9
0.00531,68.8,-9
0.00531,68,-9
0.00532,68,-9
0.00532,64.8,-9
0.00532,64,-8.8
0.00533,62.4,-8.8
0.00533,60,-9
0.00534,59.2,-8.8
0.00534,56.8,-8.8
0.00534,54.4,-8.8
0.00535,52.8,-8.8
0.00535,52,-9
0.00536,49.6,-8.8
0.00536,48,-8.8
0.00536,44,-9
0.00537,42.4,-8.8
0.00537,40,-9
0.00537,40.8,-9
0.00538,37.6,-8.8
0.00538,36.8,-9
0.00539,36,-8.6
0.00539,34.4,-9
0.0054,31.2,-8.8
0.0054,30.4,-8.8
0.0054,28.8,-9
0.00541,28,-9
0.00541,27.2,-9
0.00541,25.6,-9
0.00542,23.2,-9
0.00542,24.8,-9
0.00543,22.4,-8.8
0.00543,21.6,-8.8
0.00544,21.6,-8.8
0.00544,22.4,-9
0.00544,21.6,-9
0.00545,20,-8.8
0.00545,20,-9
0.00545,18.4,-9
0.00546,17.6,-9
0.00546,19.2,-8.8
0.00547,18.4,-9
0.00547,17.6,-8.8
0.00548,16.8,-9
0.00548,15.2,-9
0.00548,15.2,-9
0.00549,14.4,-9
0.00549,15.2,-9
0.00549,14.4,-8.8
0.0055,13.6,-8.8
0.0055,12.8,-8.8
0.00551,12,-8.8
0.00551,11.2,-8.8
0.00551,11.2,-9
0.00552,9.6,-8.8
0.00552,11.2,-8.8
0.00553,8.8,-9
0.00553,7.2,-8.8
0.00554,6.4,-8.8
0.00554,7.2,-9
0.00554,5.6,-8.8
0.00555,4,-8.8
0.00555,2.4,-9
0.00556,2.4,-8.8
0.00556,1.6,-8.8
0.00557,-3.2,-9
0.00557,-2.4,-9
0.00558,-3.2,-8.8
0.00558,-4,-8.8
0.00558,-4.8,-8.8
0.00559,-6.4,-8.8
0.00559,-6.4,-8.8
0.0056,-7.2,-9
0.0056,-8,-9
0.0056,-8.8,-9
0.00561,-10.4,-8.8
0.00561,-11.2,-8.8
0.00562,-12,-8.8
0.00562,-12.8,-9
0.00562,-13.6,-9
0.00563,-14.4,-9
0.00563,-14.4,-9
0.00564,-15.2,-9
0.00564,-15.2,-9
0.00564,-16,-9
0.00565,-17.6,-8.8
0.00565,-18.4,-8.8
0.00566,-16.8,-8.8
0.00566,-18.4,-9
0.00566,-19.2,-9
0.00567,-21.6,-8.6
0.00567,-19.2,-9
0.00568,-20,-9
0.00568,-20,-8.8
0.00568,-21.6,-8.8
0.00569,-21.6,-8.8
0.00569,-21.6,-9
0.0057,-21.6,-9
0.0057,-21.6,-9
0.0057,-20.8,-8.8
0.00571,-22.4,-9
0.00571,-20.8,-8.8
0.00571,-20.8,-9
0.00572,-20.8,-9
0.00572,-20.8,-9
0.00573,-19.2,-8.8
0.00573,-18.4,-9
0.00573,-18.4,-9
0.00574,-17.6,-8.8
0.00574,-16.8,-9
0.00575,-16,-9
0.00575,-16,-8.8
0.00575,-15.2,-9
0.00576,-16,-9
0.00576,-14.4,-8.8
0.00577,-13.6,-9
0.00577,-12.8,-9
0.00577,-15.2,-8.8
0.00578,-13.6,-9
0.00578,-11.2,-9
0.00579,-11.2,-9
0.00579,-12.8,-9
0.00579,-11.2,-8.8
0.0058,-13.6,-9
0.0058,-11.2,-9
0.00581,-12,-9
0.00581,-11.2,-8.8
0.00581,-11.2,-8.8
0.00582,-12,-9
0.00582,-12,-9
0.00583,-12,-9
0.00583,-12.8,-8.8
0.00583,-12,-9
0.00584,-11.2,-9
0.00584,-11.2,-9
0.00585,-12,-8.8
0.00585,-12,-8.8
0.00586,-12,-9
0.00586,-12.8,-8.8
0.00586,-12,-8.8
0.00587,-12.8,-8.8
0.00587,-11.2,-8.8
0.00588,-11.2,-8.8
0.00588,-12.8,-9
0.00588,-11.2,-9
0.00589,-12,-9
0.00589,-10.4,-9
0.0059,-9.6,-9
0.0059,-10.4,-8.8
0.0059,-9.6,-8.8
0.00591,-11.2,-8.8
0.00591,-9.6,-8.8
0.00592,-11.2,-9
0.00592,-9.6,-9
0.00592,-6.4,-8.8
0.00593,-9.6,-9
0.00593,-8,-9
0.00594,-7.2,-9
0.00594,-8,-8.8
0.00594,-6.4,-8.8
0.00595,-7.2,-9
0.00595,-5.6,-8.8
0.00596,-4.8,-9
0.00596,-4.8,-9
0.00596,-5.6,-8.8
0.00597,-4.8,-9
0.00597,-5.6,-9
0.00598,-4,-9
0.00598,-2.4,-9
0.00598,-3.2,-9
0.00599,-2.4,-8.8
0.00599,-2.4,-8.8
0.006,-0.8,-9
0.006,-0.8,-9
0.006,-0.8,-8.8
0.00601,1.6,-8.8
0.00601,0.8,-9
0.00602,2.4,-9
0.00602,2.4,-8.8
0.00602,2.4,-9
0.00603,4,-8.8
0.00603,4.8,-9
0.00604,7.2,-9
0.00604,6.4,-8.8
0.00604,8,-9
0.00605,8,-8.8
0.00605,8.8,-9
0.00605,8.8,-9
0.00606,11.2,-9
0.00606,9.6,-9
0.00607,12,-9
0.00607,12,-8.8
0.00607,12.8,-9
0.00608,12,-8.8
0.00608,14.4,-8.8
0.00609,13.6,-9
0.00609,15.2,-9
0.00609,15.2,-8.8
0.0061,14.4,-9
0.0061,15.2,-9
0.00611,15.2,-8.8
0.00611,16,-8.8
0.00611,16,-9
0.00612,16,-9
0.00612,17.6,-8.8
0.00613,17.6,-8.8
0.00613,18.4,-8.8
0.00613,18.4,-9
0.00614,18.4,-8.8
0.00614,20,-9
0.00615,20,-8.8
0.00615,21.6,-8.8
0.00615,23.2,-8.8
0.00616,22.4,-9
0.00616,23.2,-9
0.00617,24,-9
0.00617,24.8,-8.8
0.00617,25.6,-9
0.00618,26.4,-9
0.00618,27.2,-9
0.00619,26.4,-9
0.00619,28,-9
0.0062,29.6,-9
0.0062,28.8,-9
0.0062,29.6,-9
0.00621,31.2,-9
0.00621,31.2,-9
0.00622,32,-9
0.00622,31.2,-8.8
0.00622,33.6,-9
0.00623,34.4,-9
0.00623,34.4,-9
0.00624,34.4,-9
0.00624,36,-8.8
0.00624,36.8,-9
0.00625,37.6,-9
0.00625,36.8,-8.8
0.00626,38.4,-8.8
0.00626,38.4,-9
0.00626,39.2,-9
0.00627,39.2,-9
0.00627,39.2,-8.8
0.00628,41.6,-9
0.00628,41.6,-9
0.00628,43.2,-9
0.00629,43.2,-9
0.00629,43.2,-9
0.0063,44,-9
0.0063,46.4,-8.8
0.0063,46.4,-9
0.00631,48.8,-9
0.00631,47.2,-9.2
0.00632,48,-9
0.00632,48,-9
0.00632,49.6,-9
0.00633,48.8,-8.8
0.00633,48.8,-9
0.00634,48,-9
0.00634,51.2,-9
0.00634,50.4,-9
0.00635,51.2,-8.8
0.00635,50.4,-9
0.00636,51.2,-8.8
0.00636,50.4,-9
0.00636,50.4,-9
0.00637,50.4,-9
0.00637,51.2,-9
0.00637,50.4,-9
0.00638,51.2,-8.8
0.00638,49.6,-8.8
0.00639,50.4,-8.8
0.00639,50.4,-8.8
0.0064,50.4,-8.8
0.0064,52,-9
0.0064,51.2,-9
0.00641,52,-9
0.00641,51.2,-8.8
0.00641,51.2,-9
0.00642,50.4,-8.8
0.00642,51.2,-9
0.00643,49.6,-9
0.00643,50.4,-9
0.00644,49.6,-8.8
0.00644,51.2,-8.8
0.00644,50.4,-9
0.00645,50.4,-8.8
0.00645,50.4,-9
0.00645,51.2,-9
0.00646,52,-8.8
0.00646,52.8,-9
0.00647,50.4,-8.8
0.00647,52,-9
0.00648,51.2,-9
0.00648,52,-9
0.00648,52.8,-9
0.00649,52.8,-8.8
0.00649,51.2,-9.2
0.00649,52.8,-9
0.0065,51.2,-9
0.0065,52.8,-9
0.00651,52.8,-8.8
0.00651,52.8,-9
0.00652,52.8,-9
0.00652,52.8,-9
0.00652,52.8,-9
0.00653,52.8,-9
0.00653,52.8,-8.8
0.00654,52.8,-8.8
0.00654,52.8,-9
0.00654,52,-9
0.00655,52.8,-9
0.00655,52.8,-9
0.00656,52.8,-9
0.00656,52.8,-9
0.00656,53.6,-9
0.00657,52.8,-8.8
0.00657,52.8,-8.8
0.00658,52,-8.6
0.00658,52.8,-8.8
0.00658,52,-8.8
0.00659,52.8,-9
0.00659,52.8,-8.8
0.0066,52.8,-9
0.0066,51.2,-9
0.0066,52,-8.8
0.00661,52.8,-8.8
0.00661,52.8,-8.8
0.00662,52,-9
0.00662,52.8,-9
0.00662,51.2,-8.8
0.00663,52,-8.8
0.00663,51.2,-8.8
0.00664,52,-9
0.00664,51.2,-9
0.00664,49.6,-9
0.00665,50.4,-9
0.00665,50.4,-9
0.00666,49.6,-9
0.00666,48.8,-9
0.00666,48,-9
0.00667,47.2,-9
0.00667,46.4,-9
0.00668,47.2,-9
0.00668,47.2,-9
0.00668,46.4,-9
0.00669,46.4,-9
0.00669,43.2,-9
0.0067,44,-8.8
0.0067,44,-8.8
0.0067,43.2,-9
0.00671,42.4,-9
0.00671,43.2,-8.8
0.00671,40,-9
0.00672,41.6,-9
0.00672,40.8,-9
0.00673,42.4,-8.8
0.00673,39.2,-8.8
0.00673,40.8,-9
0.00674,39.2,-9
0.00674,38.4,-9
0.00675,38.4,-8.8
0.00675,38.4,-9
0.00675,37.6,-8.8
0.00676,38.4,-9
0.00676,38.4,-9
0.00677,37.6,-8.8
0.00677,36,-9
0.00677,36.8,-9
0.00678,36.8,-9
0.00678,36,-8.8
0.00679,35.2,-9
0.00679,34.4,-8.6
0.00679,34.4,-9
0.0068,32.8,-9
0.0068,32.8,-9
0.00681,33.6,-9
0.00681,32.8,-9
0.00681,31.2,-9
0.00682,32,-8.8
0.00682,31.2,-9
0.00683,32,-9
0.00683,29.6,-8.8
0.00683,30.4,-9
0.00684,30.4,-8.8
0.00684,29.6,-9
0.00685,28,-8.8
0.00685,28.8,-9
0.00686,27.2,-9
0.00686,28,-8.8
0.00686,26.4,-9
0.00687,27.2,-8.8
0.00687,25.6,-9
0.00688,27.2,-9
0.00688,25.6,-9
0.00688,25.6,-8.8
0.00689,24,-9
0.00689,24,-9
0.0069,23.2,-9
0.0069,22.4,-8.8
0.0069,22.4,-9
0.00691,22.4,-9
0.00691,20,-8.8
0.00692,19.2,-9
0.00692,20,-8.8
0.00692,19.2,-9
0.00693,17.6,-9
0.00693,18.4,-9
0.00694,17.6,-9
0.00694,16.8,-9
0.00694,16,-9
0.00695,16,-9
0.00695,16,-9
0.00696,15.2,-8.8
0.00696,14.4,-9
0.00696,14.4,-9
0.00697,14.4,-9
0.00697,12,-9
0.00698,12,-9
0.00698,12,-9
0.00698,12,-8.8
0.00699,11.2,-8.8
0.00699,12,-9
0.007,10.4,-9
0.007,12,-9
0.007,8.8,-9
0.00701,11.2,-9
0.00701,8.8,-9
0.00702,10.4,-8.8
0.00702,8,-9
0.00702,8.8,-9
0.00703,8,-8.8
0.00703,8.8,-8.8
0.00703,7.2,-8.8
0.00704,8,-8.8
0.00704,7.2,-9
0.00705,7.2,-9
0.00705,7.2,-9
0.00705,8.8,-9
0.00706,8.8,-9
0.00706,7.2,-9
0.00707,8.8,-9
0.00707,7.2,-9
0.00707,6.4,-9
0.00708,7.2,-9
0.00708,8,-9
0.00709,8,-9
0.00709,8,-9
0.00709,8,-9
0.0071,8.8,-8.8
0.0071,8,-8.8
0.00711,6.4,-9
0.00711,5.6,-9
0.00711,6.4,-9
0.00712,6.4,-8.8
0.00712,6.4,-9
0.00713,4.8,-8.8
0.00713,5.6,-9
0.00713,5.6,-9
0.00714,6.4,-8.8
0.00714,4.8,-8.8
0.00715,6.4,-8.8
0.00715,4.8,-9
0.00715,4.8,-9
0.00716,4.8,-9
0.00716,5.6,-8.8
0.00717,4,-9
0.00717,4.8,-8.8
0.00718,4,-9
0.00718,7.2,-9
0.00718,5.6,-9
0.00719,6.4,-8.8
0.00719,6.4,-9
0.0072,6.4,-8.8
0.0072,6.4,-9
0.0072,5.6,-9
0.00721,5.6,-9
0.00721,7.2,-9
0.00722,5.6,-9
0.00722,5.6,-8.6
0.00722,6.4,-9
0.00723,5.6,-9
0.00723,6.4,-8.8
0.00724,7.2,-9
0.00724,6.4,-9
0.00724,5.6,-9
0.00725,7.2,-8.8
0.00725,6.4,-8.8
0.00726,8,-9
0.00726,6.4,-9
0.00726,8,-9
0.00727,4.8,-8.8
0.00727,8,-9
0.00728,7.2,-9
0.00728,8.8,-8.8
0.00728,7.2,-8.8
0.00729,8.8,-9
0.00729,8.8,-9
0.0073,9.6,-9
0.0073,8.8,-8.8
0.0073,8.8,-9
0.00731,10.4,-9
0.00731,10.4,-9
0.00732,9.6,-9
0.00732,10.4,-9
0.00732,12,-9
0.00733,10.4,-9
0.00733,10.4,-9
0.00734,12,-8.8
0.00734,12,-9
0.00734,12,-8.8
0.00735,12.8,-8.6
0.00735,12,-9
0.00736,13.6,-9
0.00736,12.8,-9
0.00736,12.8,-9
0.00737,12.8,-8.8
0.00737,14.4,-9
0.00737,12.8,-8.8
0.00738,15.2,-8.8
0.00738,12.8,-9
0.00739,15.2,-8.8
0.00739,15.2,-8.8
0.0074,14.4,-8.8
0.0074,14.4,-9
0.0074,16.8,-9
0.00741,16,-9
0.00741,16.8,-8.8
0.00741,16.8,-8.8
0.00742,18.4,-9
0.00742,18.4,-9
0.00743,20,-9.2
0.00743,18.4,-9
0.00744,19.2,-8.8
0.00744,20,-9
0.00744,21.6,-8.8
0.00745,20,-9
0.00745,20.8,-8.8
0.00745,20.8,-8.8
0.00746,22.4,-8.8
0.00746,21.6,-9
0.00747,22.4,-9
0.00747,23.2,-9
0.00748,22.4,-8.8
0.00748,22.4,-8.8
0.00748,23.2,-8.8
0.00749,24,-9
0.00749,24,-9
0.00749,25.6,-9
0.0075,25.6,-8.6
0.0075,26.4,-9
0.00751,25.6,-8.8
0.00751,27.2,-9
0.00752,26.4,-9
0.00752,27.2,-8.8
0.00752,28,-8.8
0.00753,28,-9
0.00753,27.2,-8.8
0.00754,28.8,-8.8
0.00754,28.8,-9.2
0.00754,30.4,-8.8
0.00755,30.4,-9
0.00755,30.4,-9
0.00756,30.4,-9
0.00756,31.2,-9
0.00756,31.2,-9
0.00757,32,-9
0.00757,31.2,-8.8
0.00758,32.8,-9
0.00758,32,-9
0.00758,32.8,-9
0.00759,33.6,-8.8
0.00759,33.6,-9
0.0076,33.6,-9
0.0076,32.8,-8.8
0.0076,34.4,-8.8
0.00761,33.6,-9
0.00761,33.6,-9
0.00762,32.8,-8.8
0.00762,35.2,-9
0.00762,35.2,-9
0.00763,35.2,-8.8
0.00763,34.4,-8.8
0.00764,36,-9
0.00764,36.8,-9
0.00764,36.8,-8.8
0.00765,36.8,-9
0.00765,37.6,-9
0.00766,37.6,-9
0.00766,38.4,-9
0.00766,37.6,-9
0.00767,38.4,-9
0.00767,37.6,-8.8
0.00768,39.2,-9
0.00768,38.4,-8.8
0.00768,40,-8.8
0.00769,40,-8.8
0.00769,40.8,-9
0.00769,39.2,-8.8
0.0077,40.8,-8.8
0.0077,40,-9
0.00771,40,-8.8
0.00771,40,-9
0.00771,40,-8.8
0.00772,39.2,-8.8
0.00772,38.4,-8.8
0.00773,40,-9
0.00773,40.8,-8.8
0.00773,38.4,-8.8
0.00774,39.2,-9
0.00774,40.8,-8.8
0.00775,38.4,-8.8
0.00775,40,-8.8
0.00775,40,-9
0.00776,38.4,-8.8
0.00776,39.2,-9
0.00777,40,-9
0.00777,38.4,-9
0.00777,39.2,-9
0.00778,39.2,-8.8
0.00778,40,-8.8
0.00779,38.4,-8.8
0.00779,39.2,-9
0.00779,40,-9
0.0078,40.8,-8.8
0.0078,40,-9
0.00781,40.8,-8.8
0.00781,40.8,-9
0.00781,40.8,-8.8
0.00782,40,-9
0.00782,40.8,-9
0.00783,40,-9
0.00783,41.6,-8.8
0.00784,41.6,-9
0.00784,40,-8.8
0.00784,40.8,-8.8
0.00785,40.8,-9
0.00785,40.8,-9
0.00785,41.6,-8.8
0.00786,40.8,-9
0.00786,41.6,-8.6
0.00787,41.6,-9
0.00787,41.6,-9
0.00788,40,-9
0.00788,40,-8.8
0.00788,46.4,-8.8
0.00789,39.2,-9
0.00789,40.8,-8.8
0.0079,40,-9
0.0079,40,-8.8
0.0079,40,-9
0.00791,40.8,-9
0.00791,40,-9
0.00792,41.6,-9
0.00792,40,-8.8
0.00792,41.6,-9
0.00793,40,-8.8
0.00793,38.4,-8.8
0.00794,40,-9
0.00794,38.4,-9
0.00794,37.6,-9
0.00795,40,-8.8
0.00795,40,-9
0.00796,39.2,-8.8
0.00796,38.4,-8.8
0.00796,38.4,-8.8
0.00797,36.8,-8.8
0.00797,37.6,-8.8
0.00798,36,-9
0.00798,36,-9
0.00798,36.8,-9
0.00799,35.2,-8.8
0.00799,35.2,-8.8
0.008,34.4,-8.8
0.008,34.4,-8.8
0.008,34.4,-9
0.00801,35.2,-9
0.00801,35.2,-8.8
0.00802,32.8,-9
0.00802,33.6,-8.8
0.00802,32.8,-9
0.00803,32.8,-9
0.00803,32.8,-9
0.00804,32.8,-9
0.00804,32.8,-9
0.00804,32,-9.2
0.00805,31.2,-8.8
0.00805,30.4,-9
0.00805,32,-9
0.00806,31.2,-8.8
0.00806,32.8,-9
0.00807,29.6,-9
0.00807,30.4,-9
0.00807,31.2,-9
0.00808,30.4,-9
0.00808,29.6,-8.8
0.00809,31.2,-9
0.00809,29.6,-9
0.0081,29.6,-9
0.0081,29.6,-9
0.0081,29.6,-9
0.00811,28.8,-8.8
0.00811,28.8,-9
0.00812,28.8,-9
0.00812,27.2,-8.8
0.00812,27.2,-8.8
0.00813,25.6,-8.8
0.00813,25.6,-9
0.00813,24.8,-9
0.00814,24.8,-9
0.00814,22.4,-8.6
0.00815,23.2,-9
0.00815,21.6,-9
0.00815,20,-9
0.00816,18.4,-9
0.00816,19.2,-9
0.00817,16.8,-8.8
0.00817,16,-9
0.00818,12.8,-8.8
0.00818,13.6,-8.8
0.00818,12,-8.8
0.00819,10.4,-9
0.00819,8,-9
0.00819,7.2,-8.8
0.0082,5.6,-8.8
0.0082,4,-9
0.00821,1.6,-8.8
0.00822,-3.2,-8.8
0.00822,-4,-9
0.00822,-5.6,-9
0.00823,-6.4,-8.8
0.00823,-9.6,-9
0.00823,-9.6,-8.8
0.00824,-12.8,-9
0.00824,-13.6,-8.8
0.00825,-16,-8.8
0.00825,-16.8,-9
0.00826,-17.6,-9
0.00826,-20.8,-9
0.00826,-21.6,-9.2
0.00827,-23.2,-9
0.00827,-24,-8.8
0.00827,-25.6,-9
0.00828,-26.4,-9
0.00828,-27.2,-9
0.00829,-28,-8.8
0.00829,-30.4,-8.8
0.0083,-29.6,-9.2
0.0083,-30.4,-9
0.0083,-30.4,-9
0.00831,-32,-8.8
0.00831,-30.4,-8.8
0.00831,-32.8,-9
0.00832,-30.4,-8.8
0.00832,-32,-8.8
0.00833,-31.2,-9
0.00833,-32.8,-9
0.00834,-29.6,-9
0.00834,-30.4,-8.8
0.00834,-29.6,-9
0.00835,-31.2,-9.2
0.00835,-28.8,-8.8
0.00835,-30.4,-9
0.00836,-28.8,-8.8
0.00836,-28,-9
0.00837,-27.2,-9
0.00837,-26.4,-8.8
0.00838,-24.8,-9
0.00838,-23.2,-9
0.00838,-23.2,-9
0.00839,-21.6,-9
0.00839,-20,-9
0.00839,-19.2,-8.8
0.0084,-18.4,-9
0.0084,-16.8,-9
0.00841,-16.8,-8.8
0.00841,-13.6,-9
0.00842,-16,-9
0.00842,-12.8,-8.8
0.00842,-12.8,-8.8
0.00843,-9.6,-9
0.00843,-10.4,-9
0.00843,-8,-9
0.00844,-7.2,-9
0.00844,-5.6,-8.8
0.00845,-6.4,-9
0.00845,-3.2,-8.8
0.00846,-4.8,-9
0.00846,-0.8,-9
0.00846,-2.4,-8.8
0.00847,-1.6,-8.8
0.00847,0.8,-8.8
0.00848,1.6,-9
0.00848,1.6,-8.8
0.00849,2.4,-9
0.00849,4,-8.8
0.0085,3.2,-9
0.0085,5.6,-9
0.0085,3.2,-9
0.00851,5.6,-8.8
0.00851,6.4,-8.8
0.00852,6.4,-8.8
0.00852,6.4,-9
0.00852,8,-9
0.00853,8,-9
0.00853,9.6,-9
0.00853,8.8,-9
0.00854,9.6,-8.8
0.00854,12,-8.8
0.00855,12,-9
0.00855,12.8,-9
0.00856,13.6,-8.8
0.00856,15.2,-9
0.00856,16.8,-9
0.00857,17.6,-9
0.00857,16.8,-9
0.00858,18.4,-8.8
0.00858,19.2,-8.8
0.00858,19.2,-9
0.00859,21.6,-9
0.00859,23.2,-9
0.0086,22.4,-8.8
0.0086,23.2,-8.8
0.0086,21.6,-9
0.00861,27.2,-8.8
0.00861,24,-9
0.00861,28,-8.8
0.00862,28.8,-9
0.00862,31.2,-9
0.00863,31.2,-9
0.00863,31.2,-9
0.00864,27.2,-8.8
0.00864,33.6,-9
0.00864,35.2,-9
0.00865,36,-8.8
0.00865,36,-8.8
0.00865,39.2,-8.8
0.00866,38.4,-9
0.00866,40.8,-8.8
0.00867,41.6,-9
0.00867,43.2,-9
0.00868,44,-9
0.00868,43.2,-9
0.00868,55.2,-8.8
0.00869,42.4,-9
0.00869,47.2,-9
0.00869,47.2,-9
0.0087,49.6,-9
0.0087,49.6,-9
0.00871,50.4,-9
0.00871,52.8,-8.8
0.00872,52,-9
0.00872,52,-9
0.00872,53.6,-9
0.00873,53.6,-8.8
0.00873,58.4,-9
0.00873,52.8,-8.8
0.00874,56.8,-9
0.00874,52.8,-8.8
0.00875,56.8,-9
0.00875,54.4,-9
0.00876,56.8,-9
0.00876,55.2,-9
