tiempo (s),señal CH1 (mV),señal CH2 (V)
0.000927,26.4,-14.4
0.000931,26.4,-14.4
0.000935,25.6,-14.2
0.000939,25.6,-14.4
0.000943,24.8,-14.4
0.000947,25.6,-14.4
0.000951,24.8,-14.6
0.000955,27.2,-14.4
0.000959,26.4,-14.4
0.000963,27.2,-14.6
0.000967,25.6,-14.2
0.000971,26.4,-14.4
0.000975,24.8,-14.4
0.000979,27.2,-14.4
0.000983,24.8,-14.4
0.000987,25.6,-14.4
0.000991,26.4,-14.4
0.000995,26.4,-14.2
0.000999,25.6,-14.4
0.001,25.6,-14.4
0.00101,25.6,-14.6
0.00101,26.4,-14.6
0.00101,25.6,-14.4
0.00102,26.4,-14.2
0.00102,25.6,-14.2
0.00103,27.2,-14.2
0.00103,25.6,-14.4
0.00103,25.6,-14.4
0.00104,24.8,-14.4
0.00104,27.2,-14.2
0.00105,27.2,-14.2
0.00105,26.4,-14.4
0.00105,25.6,-14.4
0.00106,25.6,-14.4
0.00106,26.4,-14.4
0.00107,26.4,-14.6
0.00107,26.4,-14.4
0.00108,27.2,-14.4
0.00108,25.6,-14.4
0.00108,25.6,-14.2
0.00109,26.4,-14.4
0.00109,26.4,-14.2
0.0011,25.6,-14.4
0.0011,24.8,-14.2
0.0011,28,-14.6
0.00111,26.4,-14.4
0.00111,26.4,-14.4
0.00112,25.6,-14.4
0.00112,25.6,-14.4
0.00112,25.6,-14.4
0.00113,27.2,-14.4
0.00113,24.8,-14.6
0.00113,24.8,-14.4
0.00114,25.6,-14.2
0.00114,24.8,-14.4
0.00115,24.8,-14.4
0.00115,26.4,-14.4
0.00116,25.6,-14.2
0.00116,24.8,-14.4
0.00116,24.8,-14.6
0.00117,24.8,-14.4
0.00117,24.8,-14.4
0.00118,24.8,-14.2
0.00118,24.8,-14.4
0.00118,24.8,-14.4
0.00119,24.8,-14.4
0.00119,25.6,-14.4
0.0012,24.8,-14.4
0.0012,24.8,-14.2
0.0012,24.8,-14.4
0.00121,24.8,-14.4
0.00121,24.8,-14.6
0.00121,24.8,-14.6
0.00122,24.8,-14.2
0.00122,24.8,-14.4
0.00123,24,-14.4
0.00123,24,-14.4
0.00123,24,-14.6
0.00124,23.2,-14.6
0.00124,24.8,-14.6
0.00125,22.4,-14.4
0.00125,23.2,-14.6
0.00126,24,-14.4
0.00126,24.8,-14.4
0.00126,24,-14.6
0.00127,24.8,-14.4
0.00127,23.2,-14.4
0.00128,24,-14.4
0.00128,24,-5.8
0.00128,24.8,-8
0.00129,24.8,-8.4
0.00129,24.8,-8.6
0.00129,24.8,-8.6
0.0013,24.8,-8.8
0.0013,24.8,-8.6
0.00131,24.8,-8.6
0.00131,24.8,-8.8
0.00132,24,-8.6
0.00132,23.2,-8.8
0.00132,24.8,-8.8
0.00133,24.8,-8.8
0.00133,25.6,-8.8
0.00134,24.8,-8.8
0.00134,23.2,-8.6
0.00134,24.8,-8.8
0.00135,24.8,-8.8
0.00135,24.8,-8.8
0.00136,23.2,-8.8
0.00136,24.8,-9
0.00136,24.8,-8.8
0.00137,24.8,-8.8
0.00137,24,-9
0.00137,24.8,-8.8
0.00138,24,-8.8
0.00138,27.2,-8.6
0.00139,24.8,-8.6
0.00139,24.8,-8.8
0.0014,24.8,-8.8
0.0014,26.4,-8.6
0.0014,24.8,-8.8
0.00141,26.4,-9
0.00141,24.8,-9
0.00142,26.4,-8.8
0.00142,25.6,-9
0.00142,26.4,-8.8
0.00143,25.6,-9
0.00143,25.6,-8.8
0.00144,24.8,-8.8
0.00144,25.6,-8.8
0.00144,25.6,-8.6
0.00145,24.8,-8.6
0.00145,24.8,-8.8
0.00145,26.4,-8.8
0.00146,25.6,-8.8
0.00146,24.8,-8.8
0.00147,25.6,-8.8
0.00147,25.6,-8.8
0.00148,25.6,-8.8
0.00148,26.4,-8.8
0.00148,25.6,-8.8
0.00149,26.4,-8.8
0.00149,26.4,-8.8
0.0015,22.4,-8.8
0.0015,25.6,-8.8
0.0015,25.6,-8.8
0.00151,26.4,-9
0.00151,24,-8.8
0.00152,25.6,-8.8
0.00152,24.8,-8.8
0.00152,25.6,-8.8
0.00153,24,-8.8
0.00153,25.6,-8.8
0.00154,23.2,-8.8
0.00154,25.6,-8.6
0.00154,24.8,-8.8
0.00155,25.6,-8.8
0.00155,23.2,-8.8
0.00156,26.4,-8.8
0.00156,24.8,-8.8
0.00156,26.4,-8.8
0.00157,24,-8.6
0.00157,26.4,-8.6
0.00158,25.6,-8.6
0.00158,24.8,-8.8
0.00158,25.6,-8.6
0.00159,25.6,-8.8
0.00159,24.8,-8.8
0.0016,24.8,-8.8
0.0016,24.8,-8.8
0.0016,24.8,-8.6
0.00161,24.8,-8.8
0.00161,24,-8.8
0.00161,24.8,-8.8
0.00162,24.8,-8.8
0.00162,24,-8.6
0.00163,24.8,-8.8
0.00163,26.4,-8.6
0.00164,24.8,-8.8
0.00164,25.6,-8.8
0.00164,24.8,-8.8
0.00165,25.6,-8.8
0.00165,24.8,-8.8
0.00166,24.8,-8.8
0.00166,24.8,-8.8
0.00166,24.8,-8.8
0.00167,24,-8.8
0.00167,26.4,-8.8
0.00168,24.8,-8.8
0.00168,26.4,-8.8
0.00168,25.6,-8.8
0.00169,24.8,-9
0.00169,24,-8.8
0.00169,26.4,-8.8
0.0017,25.6,-8.8
0.0017,25.6,-8.8
0.00171,24.8,-8.8
0.00171,26.4,-9
0.00171,25.6,-9
0.00172,25.6,-9
0.00172,24.8,-8.8
0.00173,26.4,-8.8
0.00173,24.8,-8.8
0.00173,24.8,-8.8
0.00174,26.4,-9
0.00174,27.2,-8.8
0.00175,26.4,-8.8
0.00175,24.8,-8.8
0.00176,26.4,-8.8
0.00176,24.8,-8.8
0.00176,26.4,-9
0.00177,24.8,-9
0.00177,27.2,-8.8
0.00178,24.8,-9
0.00178,24.8,-8.8
0.00178,25.6,-8.8
0.00179,26.4,-8.8
0.00179,24.8,-8.8
0.00179,25.6,-9
0.0018,24.8,-8.8
0.0018,25.6,-8.8
0.00181,25.6,-8.8
0.00181,26.4,-8.8
0.00182,25.6,-8.8
0.00182,27.2,-9
0.00182,26.4,-8.8
0.00183,27.2,-8.8
0.00183,26.4,-8.8
0.00184,26.4,-8.8
0.00184,27.2,-9
0.00184,26.4,-8.8
0.00185,26.4,-8.8
0.00185,27.2,-9
0.00186,27.2,-8.8
0.00186,27.2,-9
0.00186,27.2,-9
0.00187,25.6,-8.8
0.00187,26.4,-9
0.00187,26.4,-9
0.00188,25.6,-9
0.00188,26.4,-9
0.00189,26.4,-9
0.00189,25.6,-8.8
0.0019,27.2,-9
0.0019,26.4,-8.8
0.0019,25.6,-8.8
0.00191,25.6,-8.8
0.00191,25.6,-8.8
0.00192,25.6,-9
0.00192,24.8,-9
0.00192,24,-8.8
0.00193,24.8,-8.8
0.00193,24,-9
0.00194,25.6,-9
0.00194,24,-8.8
0.00194,24.8,-8.8
0.00195,24.8,-9
0.00195,24.8,-9
0.00196,23.2,-9
0.00196,24.8,-9
0.00196,24.8,-8.8
0.00197,25.6,-9
0.00197,26.4,-9
0.00198,24.8,-8.8
0.00198,24.8,-8.8
0.00198,24.8,-8.8
0.00199,24.8,-9
0.00199,25.6,-9
0.00199,25.6,-9
0.002,24,-9
0.002,24.8,-9
0.00201,24.8,-9
0.00201,24.8,-9
0.00202,24.8,-9
0.00202,24.8,-9
0.00202,24.8,-9
0.00203,24.8,-9
0.00203,24.8,-9
0.00204,24.8,-9
0.00204,25.6,-9
0.00204,26.4,-9
0.00205,24.8,-9
0.00205,24.8,-9
0.00206,24.8,-9.2
0.00206,25.6,-9
0.00206,24.8,-9
0.00207,25.6,-9
0.00207,24.8,-9
0.00208,24.8,-9
0.00208,24,-9
0.00208,24.8,-9
0.00209,24,-9
0.00209,25.6,-8.8
0.0021,24.8,-9
0.0021,24.8,-9
0.0021,24.8,-9
0.00211,24.8,-9
0.00211,24.8,-9
0.00212,24,-9
0.00212,23.2,-9
0.00212,24.8,-9
0.00213,24.8,-9.2
0.00213,24.8,-9
0.00214,23.2,-9
0.00214,24.8,-9
0.00214,24.8,-9
0.00215,24,-8.8
0.00215,24,-9
0.00216,23.2,-9
0.00216,24.8,-9.2
0.00216,23.2,-9
0.00217,24.8,-9
0.00217,23.2,-9
0.00218,24,-9
0.00218,23.2,-9
0.00218,23.2,-9
0.00219,24,-9
0.00219,24.8,-9
0.00219,24,-9
0.0022,24.8,-9
0.0022,23.2,-9.2
0.00221,24.8,-9
0.00221,24.8,-9
