tiempo (s),señal CH1a (mV),señal CH1b (mV),señal CH2 (V)
0.0033,64,62.4,-9
0.0033,65.6,62.4,-9
0.0033,64.8,64,-9
0.00331,68,64.8,-9
0.00331,68.8,64.8,-9
0.00331,68.8,64.8,-9
0.00332,69.6,66.4,-9
0.00332,71.2,68.8,-9
0.00333,71.2,66.4,-8.8
0.00333,72.8,71.2,-9
0.00333,72,70.4,-8.8
0.00334,73.6,71.2,-9
0.00334,72.8,72,-9
0.00335,74.4,74.4,-8.8
0.00335,73.6,73.6,-8.8
0.00335,74.4,74.4,-9
0.00336,73.6,73.6,-9
0.00336,74.4,73.6,-9
0.00337,74.4,73.6,-8.8
0.00337,74.4,74.4,-9
0.00338,74.4,74.4,-9
0.00338,75.2,76.8,-8.8
0.00338,74.4,74.4,-9
0.00339,74.4,76.8,-9
0.00339,74.4,75.2,-8.8
0.0034,74.4,76,-9
0.0034,72.8,74.4,-9
0.0034,74.4,76,-9
0.00341,72.8,74.4,-8.8
0.00341,72,74.4,-9
0.00342,71.2,72,-9
0.00342,71.2,72.8,-8.8
0.00342,71.2,73.6,-8.8
0.00343,71.2,71.2,-8.8
0.00343,70.4,71.2,-9
0.00344,68.8,70.4,-8.8
0.00344,69.6,70.4,-9
0.00344,68.8,70.4,-8.8
0.00345,68.8,68,-9
0.00345,68.8,69.6,-9
0.00346,69.6,68,-8.8
0.00346,68,68,-8.8
0.00346,68.8,68,-8.8
0.00347,68.8,68,-8.8
0.00347,68.8,68,-9
0.00347,68.8,65.6,-9
0.00348,69.6,68,-8.8
0.00348,68,68,-9
0.00349,68.8,68,-9
0.00349,68,67.2,-9
0.00349,70.4,68,-9
0.0035,69.6,68,-9
0.0035,72,67.2,-9
0.00351,68.8,69.6,-9
0.00351,70.4,68.8,-8.8
0.00351,69.6,68,-8.8
0.00352,70.4,70.4,-9
0.00352,69.6,69.6,-9.2
0.00353,69.6,71.2,-8.8
0.00353,69.6,70.4,-9
0.00353,70.4,69.6,-9
0.00354,70.4,68.8,-9
0.00354,69.6,71.2,-9
0.00355,69.6,69.6,-9
0.00355,70.4,69.6,-9
0.00356,69.6,69.6,-9
0.00356,70.4,70.4,-9
0.00356,71.2,71.2,-9
0.00357,69.6,71.2,-8.8
0.00357,71.2,71.2,-9
0.00358,70.4,71.2,-9
0.00358,72,71.2,-8.8
0.00358,70.4,72,-8.8
0.00359,71.2,72,-9
0.00359,70.4,71.2,-9
0.00359,71.2,72,-9.2
0.0036,69.6,70.4,-9
0.0036,69.6,72,-9
0.00361,69.6,70.4,-9
0.00361,69.6,71.2,-9
0.00362,68,71.2,-9
0.00362,68.8,70.4,-9
0.00362,68,69.6,-9
0.00363,66.4,70.4,-8.8
0.00363,64.8,68.8,-8.8
0.00364,64.8,68,-9
0.00364,63.2,66.4,-9
0.00364,62.4,66.4,-9
0.00365,61.6,64.8,-8.8
0.00365,60.8,64.8,-8.8
0.00366,59.2,64,-8.8
0.00366,59.2,64.8,-8.8
0.00366,56,61.6,-9
0.00367,56,61.6,-8.8
0.00367,55.2,60,-9
0.00368,53.6,59.2,-9
0.00368,52.8,58.4,-9.2
0.00368,52.8,56.8,-8.8
0.00369,52.8,56,-9
0.00369,52.8,55.2,-9
0.0037,51.2,53.6,-9
0.0037,48.8,54.4,-9
0.0037,49.6,52.8,-9
0.00371,48.8,53.6,-8.8
0.00371,47.2,53.6,-9
0.00372,48,51.2,-8.8
0.00372,47.2,51.2,-9
0.00372,46.4,50.4,-9
0.00373,46.4,50.4,-9.2
0.00373,45.6,48.8,-9
0.00374,44.8,48,-8.8
0.00374,44,48.8,-9
0.00374,44.8,48,-9
0.00375,44,47.2,-8.8
0.00375,43.2,45.6,-9
0.00376,40.8,44.8,-9
0.00376,41.6,44.8,-9
0.00376,40.8,42.4,-8.8
0.00377,40,43.2,-9
0.00377,38.4,41.6,-9
0.00378,36.8,39.2,-9
0.00378,35.2,37.6,-8.8
0.00378,36,39.2,-8.8
0.00379,33.6,36.8,-9
0.00379,34.4,37.6,-8.8
0.0038,34.4,34.4,-9
0.0038,33.6,36,-9
0.0038,32,34.4,-9
0.00381,33.6,35.2,-8.8
0.00381,32,33.6,-9
0.00381,32.8,33.6,-9
0.00382,32,33.6,-9
0.00382,32,34.4,-9
0.00383,32,32.8,-9
0.00383,32,32.8,-9
0.00383,31.2,32,-9
0.00384,31.2,31.2,-9
0.00384,32,31.2,-8.8
0.00385,31.2,32,-9
0.00385,31.2,30.4,-9
0.00385,30.4,31.2,-9
0.00386,31.2,29.6,-9
0.00386,28.8,30.4,-9
0.00387,30.4,30.4,-9
0.00387,27.2,28,-8.8
0.00388,26.4,28.8,-8.8
0.00388,24.8,28,-9
0.00388,24,27.2,-9
0.00389,24,25.6,-9
0.00389,22.4,24.8,-9
0.0039,21.6,23.2,-8.8
0.0039,20,23.2,-9
0.0039,18.4,21.6,-8.8
0.00391,16,21.6,-9
0.00391,16.8,19.2,-9
0.00392,16.8,18.4,-9
0.00392,16.8,16.8,-9
0.00392,14.4,17.6,-8.8
0.00393,13.6,16,-9
0.00393,14.4,16,-9
0.00394,12.8,14.4,-9
0.00394,11.2,15.2,-9
0.00394,11.2,13.6,-9
0.00395,10.4,13.6,-9
0.00395,8.8,12.8,-9
0.00396,8,12.8,-8.8
0.00396,10.4,12,-8.8
0.00396,8,10.4,-9
0.00397,8.8,10.4,-8.8
0.00397,8.8,10.4,-9
0.00398,8,8.8,-8.8
0.00398,6.4,8,-8.8
0.00398,7.2,8.8,-8.8
0.00399,5.6,8,-9
0.00399,4,7.2,-9
0.004,1.6,6.4,-8.8
0.004,3.2,5.6,-9
0.004,2.4,4,-8.8
0.00401,1.6,4,-9
0.00401,0.8,3.2,-9
0.00403,-1.6,0.8,-9
0.00403,-1.6,0.8,-9
0.00404,-2.4,-1.6,-8.8
0.00405,-3.2,-0.8,-9
0.00405,-2.4,-2.4,-9
0.00405,-3.2,-1.6,-9
0.00406,-2.4,-0.8,-9
0.00406,-3.2,-0.8,-9
0.00407,-3.2,-2.4,-9
0.00407,-3.2,-0.8,-9
0.00407,-3.2,-0.8,-8.8
0.00408,-2.4,-1.6,-8.8
0.00408,-3.2,-1.6,-9
0.00409,-3.2,-1.6,-9
0.00409,-2.4,-1.6,-9
0.0041,-1.6,-2.4,-8.8
0.0041,-2.4,-0.8,-8.8
0.00411,-1.6,-2.4,-8.8
0.00411,-3.2,1.6,-9
0.00412,-4,-3.2,-9
0.00412,-3.2,-1.6,-8.8
0.00413,-4,-1.6,-8.8
0.00413,-4,-3.2,-9
0.00413,-4,-2.4,-9
0.00414,-4,-3.2,-9
0.00414,-5.6,-4,-8.8
0.00415,-4.8,-3.2,-9
0.00415,-6.4,-5.6,-8.8
0.00415,-6.4,-4.8,-8.8
0.00416,-6.4,-5.6,-9
0.00416,-6.4,-4.8,-9
0.00417,-6.4,-6.4,-8.8
0.00417,-6.4,-4.8,-8.8
0.00417,-7.2,-6.4,-9
0.00418,-6.4,-5.6,-8.6
0.00418,-7.2,-6.4,-9
0.00419,-6.4,-6.4,-8.8
0.00419,-7.2,-4.8,-9
0.00419,-6.4,-6.4,-9
0.0042,-6.4,-7.2,-9
0.0042,-6.4,-4.8,-8.8
0.00421,-7.2,-7.2,-8.8
0.00421,-6.4,-7.2,-8.8
0.00422,-5.6,-5.6,-9
0.00422,-6.4,-5.6,-9
0.00422,-6.4,-4.8,-8.8
0.00423,-5.6,-6.4,-8.8
0.00423,-5.6,-6.4,-9
0.00424,-6.4,-6.4,-8.8
0.00424,-6.4,-5.6,-8.8
0.00424,-6.4,-4.8,-8.8
0.00425,-4.8,-7.2,-8.8
0.00425,-6.4,-5.6,-9
0.00426,-4.8,-7.2,-9
0.00426,-4.8,-4.8,-8.8
0.00426,-5.6,-5.6,-8.8
0.00427,-5.6,-5.6,-9
0.00427,-4.8,-4.8,-9
0.00428,-5.6,-4.8,-8.8
0.00428,-4.8,-4,-9
0.00428,-5.6,-6.4,-8.8
0.00429,-3.2,-4.8,-8.8
0.00429,-4,-4.8,-8.8
0.0043,-3.2,-4.8,-8.8
0.0043,-3.2,-4.8,-8.8
0.0043,-2.4,-1.6,-9
0.00431,-2.4,-3.2,-9
0.00431,-0.8,-3.2,-9
0.00432,-1.6,-2.4,-9
0.00432,0.8,-1.6,-9
0.00434,1.6,0.8,-8.8
0.00434,2.4,0.8,-9
0.00434,4.8,2.4,-8.8
0.00435,4,2.4,-8.8
0.00435,5.6,4.8,-9
0.00436,4.8,3.2,-8.8
0.00436,5.6,4.8,-9
0.00436,7.2,4,-8.8
0.00437,6.4,6.4,-8.8
0.00437,8,7.2,-8.8
0.00438,8,7.2,-8.8
0.00438,8.8,7.2,-9
0.00438,10.4,8.8,-9
0.00439,9.6,9.6,-9
0.00439,10.4,8.8,-8.8
0.0044,10.4,9.6,-9
0.0044,10.4,10.4,-8.8
0.0044,12,9.6,-9
0.00441,11.2,12,-9
0.00441,12,11.2,-9
0.00441,12,12,-9
0.00442,12,12,-8.8
0.00442,12.8,12,-8.6
0.00443,12.8,12,-9
0.00443,13.6,12.8,-8.8
0.00444,13.6,13.6,-9
0.00444,13.6,15.2,-9
0.00444,15.2,16,-9
0.00445,14.4,15.2,-8.8
0.00445,16,15.2,-9
0.00445,16.8,15.2,-9
0.00446,16,17.6,-8.8
0.00446,17.6,16.8,-8.8
0.00447,18.4,16.8,-8.8
0.00447,19.2,17.6,-8.8
0.00448,19.2,19.2,-9
0.00448,20.8,18.4,-8.8
0.00448,20,20.8,-8.8
0.00449,21.6,21.6,-9
0.00449,21.6,21.6,-9
0.00449,24,21.6,-9
0.0045,23.2,23.2,-9
0.0045,24,24,-9
0.00451,23.2,24.8,-9
0.00451,24.8,23.2,-8.8
0.00451,25.6,25.6,-9
0.00452,25.6,25.6,-9
0.00452,26.4,27.2,-8.8
0.00453,28,25.6,-8.8
0.00453,26.4,26.4,-8.8
0.00454,27.2,26.4,-8.8
0.00454,28,27.2,-8.8
0.00454,28,29.6,-9
0.00455,28.8,28.8,-8.8
0.00455,29.6,30.4,-8.8
0.00456,30.4,28,-8.8
0.00456,30.4,30.4,-9
0.00456,31.2,31.2,-9
0.00457,31.2,31.2,-9
0.00457,32,30.4,-8.8
0.00458,33.6,32.8,-9
0.00458,32.8,32,-9
0.00458,34.4,34.4,-8.8
0.00459,34.4,34.4,-9
0.00459,34.4,35.2,-8.8
0.0046,36,35.2,-9
0.0046,36.8,36.8,-8.8
0.0046,37.6,36.8,-8.8
0.00461,37.6,38.4,-9
0.00461,38.4,38.4,-9
0.00462,40,40,-9
0.00462,39.2,40,-8.8
0.00462,40,41.6,-9
0.00463,40,40.8,-9
0.00463,40.8,42.4,-8.8
0.00464,41.6,43.2,-9
0.00464,41.6,43.2,-9
0.00464,42.4,44,-9
0.00465,42.4,44,-9
0.00465,42.4,44.8,-9
0.00466,43.2,45.6,-8.8
0.00466,43.2,44,-8.8
0.00466,43.2,44,-8.8
0.00467,43.2,44,-9
0.00467,43.2,45.6,-9
0.00468,43.2,44.8,-9
0.00468,43.2,44.8,-8.8
0.00468,43.2,47.2,-9
0.00469,43.2,46.4,-9
0.00469,44,46.4,-9
0.0047,43.2,45.6,-9
0.0047,43.2,45.6,-8.8
0.0047,44,44.8,-9
0.00471,44,46.4,-9
0.00471,44,44.8,-9
0.00471,44,47.2,-9
0.00472,44.8,46.4,-9
0.00472,43.2,46.4,-9.2
0.00473,44.8,46.4,-9
0.00473,43.2,48.8,-8.6
0.00473,44.8,47.2,-9
0.00474,44,48,-9
0.00474,46.4,46.4,-8.8
0.00475,45.6,49.6,-9
0.00475,45.6,48,-9
0.00475,44.8,49.6,-9
0.00476,46.4,48,-9
0.00476,45.6,49.6,-9
0.00477,44.8,49.6,-9
0.00477,45.6,50.4,-9
0.00477,45.6,48.8,-9
0.00478,45.6,49.6,-8.8
0.00478,46.4,49.6,-8.8
0.00479,44.8,50.4,-8.8
0.00479,44.8,49.6,-9
0.00479,45.6,49.6,-9
0.0048,44,49.6,-9
0.0048,46.4,50.4,-8.8
0.00481,46.4,50.4,-9
0.00481,45.6,49.6,-9
0.00481,46.4,49.6,-8.8
0.00482,44.8,49.6,-8.8
0.00482,44.8,49.6,-9
0.00483,44.8,49.6,-9
0.00483,43.2,50.4,-8.8
0.00483,44.8,48.8,-9
0.00484,45.6,49.6,-9
0.00484,45.6,48.8,-8.8
0.00485,45.6,48.8,-9
0.00485,45.6,48.8,-9
0.00485,44,49.6,-9
0.00486,45.6,49.6,-9
0.00486,45.6,48.8,-9.2
0.00487,44,48.8,-9
0.00487,44,48.8,-9
0.00488,46.4,49.6,-8.8
0.00488,44,49.6,-8.8
0.00488,45.6,48.8,-9
0.00489,44.8,49.6,-9
0.00489,44.8,48.8,-9
0.0049,45.6,48.8,-9
0.0049,44,48,-8.8
0.0049,46.4,48,-9
0.00491,45.6,47.2,-9
0.00491,45.6,48,-8.8
0.00492,48,48.8,-9
0.00492,44,48,-9
0.00492,46.4,48,-9
0.00493,44.8,46.4,-9
0.00493,44,47.2,-9
0.00494,44,46.4,-8.8
0.00494,43.2,46.4,-8.8
0.00494,43.2,44.8,-9
0.00495,42.4,45.6,-9
0.00495,42.4,44,-9
0.00496,41.6,42.4,-9
0.00496,41.6,44,-9
0.00496,42.4,43.2,-9
0.00497,40,43.2,-9
0.00497,40.8,43.2,-8.8
0.00498,39.2,40.8,-8.8
0.00498,40.8,41.6,-9
0.00498,40.8,40,-9
0.00499,38.4,41.6,-8.8
0.00499,38.4,40,-9
0.005,40,40.8,-9
0.005,38.4,39.2,-9
0.005,38.4,37.6,-9
0.00501,37.6,38.4,-8.8
0.00501,36.8,37.6,-8.8
0.00502,37.6,36,-9
0.00502,36,37.6,-9
0.00502,36.8,36.8,-9
0.00503,37.6,36.8,-9
0.00503,36,35.2,-9
0.00504,36,37.6,-9
0.00504,36,35.2,-9
0.00504,36,34.4,-9
0.00505,36,34.4,-9
0.00505,36,35.2,-9
0.00505,34.4,36,-8.8
0.00506,34.4,34.4,-9
0.00506,32.8,34.4,-9
0.00507,31.2,33.6,-9
0.00507,29.6,34.4,-9
0.00507,25.6,34.4,-9
0.00508,23.2,34.4,-8.8
0.00508,19.2,33.6,-9
0.00509,16.8,32.8,-9
0.00509,12.8,32.8,-9
0.00509,12,34.4,-8.8
0.0051,7.2,34.4,-9
0.0051,4,32.8,-9
0.00511,-3.2,35.2,-9
0.00511,-7.2,34.4,-9
0.00512,-9.6,38.4,-8.8
0.00512,-13.6,38.4,-9
0.00513,-14.4,40,-9
0.00513,-20,40,-9
0.00513,-21.6,42.4,-9
0.00514,-24.8,40,-8.8
0.00514,-26.4,45.6,-9
0.00515,-29.6,45.6,-9
0.00515,-33.6,48.8,-8.8
0.00515,-33.6,49.6,-9
0.00516,-36,51.2,-9
0.00516,-39.2,52.8,-9
0.00517,-40,54.4,-9
0.00517,-40.8,55.2,-9
0.00517,-42.4,57.6,-9
0.00518,-43.2,60,-8.8
0.00518,-44,61.6,-8.8
0.00519,-46.4,63.2,-9
0.00519,-46.4,66.4,-9
0.0052,-46.4,66.4,-9
0.0052,-47.2,68.8,-8.6
0.0052,-48,70.4,-9
0.00521,-48.8,70.4,-9
0.00521,-48.8,72,-9
0.00522,-48.8,72.8,-9
0.00522,-48.8,73.6,-9
0.00522,-49.6,74.4,-9
0.00523,-48,75.2,-9
0.00523,-47.2,76.8,-9
0.00524,-47.2,78.4,-9.2
0.00524,-45.6,76.8,-9
0.00524,-44,77.6,-9
0.00525,-44,76.8,-9
0.00525,-42.4,79.2,-8.8
0.00526,-40.8,78.4,-8.8
0.00526,-39.2,79.2,-9
0.00526,-39.2,77.6,-8.8
0.00527,-36,79.2,-8.8
0.00527,-33.6,77.6,-8.8
0.00528,-32,77.6,-8.8
0.00528,-28,75.2,-8.8
0.00528,-27.2,75.2,-8.8
0.00529,-24.8,75.2,-9
0.00529,-21.6,74.4,-8.8
0.0053,-20.8,72.8,-9
0.0053,-19.2,72.8,-9
0.0053,-16.8,71.2,-9
0.00531,-15.2,68.8,-9
0.00531,-12,68,-9
0.00532,-10.4,68,-9
0.00532,-8,64.8,-9
0.00532,-7.2,64,-8.8
0.00533,-4.8,62.4,-8.8
0.00533,-4,60,-9
0.00534,-2.4,59.2,-8.8
0.00534,-1.6,56.8,-8.8
0.00534,-0.8,54.4,-8.8
0.00535,1.6,52,-9
0.00536,2.4,49.6,-8.8
0.00536,1.6,48,-8.8
0.00536,2.4,44,-9
0.00537,4,42.4,-8.8
0.00537,4,40,-9
0.00537,4.8,40.8,-9
0.00538,4,37.6,-8.8
0.00538,4,36.8,-9
0.00539,4.8,36,-8.6
0.00539,6.4,34.4,-9
0.0054,4.8,31.2,-8.8
0.0054,5.6,30.4,-8.8
0.0054,4.8,28.8,-9
0.00541,4.8,28,-9
0.00541,6.4,27.2,-9
0.00541,5.6,25.6,-9
0.00542,4,23.2,-9
0.00542,5.6,24.8,-9
0.00543,5.6,22.4,-8.8
0.00543,5.6,21.6,-8.8
0.00544,7.2,21.6,-8.8
0.00544,7.2,22.4,-9
0.00544,8,21.6,-9
0.00545,8.8,20,-8.8
0.00545,8.8,20,-9
0.00545,9.6,18.4,-9
0.00546,11.2,17.6,-9
0.00546,12,19.2,-8.8
0.00547,12.8,18.4,-9
0.00547,14.4,17.6,-8.8
0.00548,13.6,16.8,-9
0.00548,16,15.2,-9
0.00548,16.8,15.2,-9
0.00549,17.6,14.4,-9
0.00549,18.4,15.2,-9
0.00549,19.2,14.4,-8.8
0.0055,20.8,13.6,-8.8
0.0055,21.6,12.8,-8.8
0.00551,24.8,12,-8.8
0.00551,25.6,11.2,-8.8
0.00551,27.2,11.2,-9
0.00552,28.8,9.6,-8.8
0.00552,31.2,11.2,-8.8
0.00553,32,8.8,-9
0.00553,34.4,7.2,-8.8
0.00554,34.4,6.4,-8.8
0.00554,36.8,7.2,-9
0.00554,38.4,5.6,-8.8
0.00555,39.2,4,-8.8
0.00555,40,2.4,-9
0.00556,43.2,2.4,-8.8
0.00556,43.2,1.6,-8.8
0.00557,46.4,-3.2,-9
0.00557,48,-2.4,-9
0.00558,50.4,-3.2,-8.8
0.00558,51.2,-4,-8.8
0.00558,52.8,-4.8,-8.8
0.00559,53.6,-6.4,-8.8
0.00559,55.2,-6.4,-8.8
0.0056,57.6,-7.2,-9
0.0056,58.4,-8,-9
0.0056,58.4,-8.8,-9
0.00561,60.8,-10.4,-8.8
0.00561,61.6,-11.2,-8.8
0.00562,62.4,-12,-8.8
0.00562,63.2,-12.8,-9
0.00562,63.2,-13.6,-9
0.00563,64.8,-14.4,-9
0.00563,65.6,-14.4,-9
0.00564,63.2,-15.2,-9
0.00564,68,-15.2,-9
0.00564,65.6,-16,-9
0.00565,67.2,-17.6,-8.8
0.00565,66.4,-18.4,-8.8
0.00566,66.4,-16.8,-8.8
0.00566,68.8,-18.4,-9
0.00566,67.2,-19.2,-9
0.00567,68,-21.6,-8.6
0.00567,68,-19.2,-9
0.00568,68,-20,-9
0.00568,67.2,-20,-8.8
0.00568,66.4,-21.6,-8.8
0.00569,64.8,-21.6,-8.8
0.00569,66.4,-21.6,-9
0.0057,64,-21.6,-9
0.0057,65.6,-21.6,-9
0.0057,64.8,-20.8,-8.8
0.00571,64.8,-22.4,-9
0.00571,64.8,-20.8,-8.8
0.00571,65.6,-20.8,-9
0.00572,64.8,-20.8,-9
0.00572,67.2,-20.8,-9
0.00573,64.8,-19.2,-8.8
0.00573,67.2,-18.4,-9
0.00573,66.4,-18.4,-9
0.00574,68,-17.6,-8.8
0.00574,68,-16.8,-9
0.00575,68,-16,-9
0.00575,68,-16,-8.8
0.00575,68,-15.2,-9
0.00576,69.6,-16,-9
0.00576,70.4,-14.4,-8.8
0.00577,69.6,-13.6,-9
0.00577,69.6,-12.8,-9
0.00577,69.6,-15.2,-8.8
0.00578,69.6,-13.6,-9
0.00578,70.4,-11.2,-9
0.00579,71.2,-11.2,-9
0.00579,70.4,-12.8,-9
0.00579,71.2,-11.2,-8.8
0.0058,71.2,-13.6,-9
0.0058,72,-11.2,-9
0.00581,72,-12,-9
0.00581,70.4,-11.2,-8.8
0.00581,72,-11.2,-8.8
0.00582,72,-12,-9
0.00582,72,-12,-9
0.00583,72.8,-12,-9
0.00583,73.6,-12.8,-8.8
0.00583,74.4,-12,-9
0.00584,73.6,-11.2,-9
0.00584,74.4,-11.2,-9
0.00585,74.4,-12,-8.8
0.00585,74.4,-12,-8.8
0.00586,75.2,-12,-9
0.00586,74.4,-12.8,-8.8
0.00586,74.4,-12,-8.8
0.00587,74.4,-12.8,-8.8
0.00587,74.4,-11.2,-8.8
0.00588,74.4,-11.2,-8.8
0.00588,74.4,-12.8,-9
0.00588,74.4,-11.2,-9
0.00589,74.4,-12,-9
0.00589,73.6,-10.4,-9
0.0059,74.4,-9.6,-9
0.0059,73.6,-10.4,-8.8
0.0059,74.4,-9.6,-8.8
0.00591,71.2,-11.2,-8.8
0.00591,71.2,-9.6,-8.8
0.00592,71.2,-11.2,-9
0.00592,70.4,-9.6,-9
0.00592,69.6,-6.4,-8.8
0.00593,68.8,-9.6,-9
0.00593,68,-8,-9
0.00594,67.2,-7.2,-9
0.00594,67.2,-8,-8.8
0.00594,66.4,-6.4,-8.8
0.00595,65.6,-7.2,-9
0.00595,64,-5.6,-8.8
0.00596,63.2,-4.8,-9
0.00596,63.2,-4.8,-9
0.00596,62.4,-5.6,-8.8
0.00597,60.8,-4.8,-9
0.00597,60,-5.6,-9
0.00598,59.2,-4,-9
0.00598,58.4,-2.4,-9
0.00598,57.6,-3.2,-9
0.00599,56.8,-2.4,-8.8
0.00599,55.2,-2.4,-8.8
0.006,54.4,-0.8,-9
0.006,55.2,-0.8,-9
0.006,54.4,-0.8,-8.8
0.00601,53.6,1.6,-8.8
0.00601,53.6,0.8,-9
0.00602,52.8,2.4,-9
0.00602,52.8,2.4,-8.8
0.00602,51.2,2.4,-9
0.00603,52.8,4,-8.8
0.00603,49.6,4.8,-9
0.00604,50.4,7.2,-9
0.00604,49.6,6.4,-8.8
0.00604,49.6,8,-9
0.00605,48.8,8,-8.8
0.00605,48.8,8.8,-9
0.00605,48,8.8,-9
0.00606,48,11.2,-9
0.00606,48,9.6,-9
0.00607,48,12,-9
0.00607,45.6,12,-8.8
0.00607,45.6,12.8,-9
0.00608,44.8,12,-8.8
0.00608,43.2,14.4,-8.8
0.00609,43.2,13.6,-9
0.00609,43.2,15.2,-9
0.00609,41.6,15.2,-8.8
0.0061,42.4,14.4,-9
0.0061,41.6,15.2,-9
0.00611,41.6,15.2,-8.8
0.00611,40.8,16,-8.8
0.00611,39.2,16,-9
0.00612,40,16,-9
0.00612,37.6,17.6,-8.8
0.00613,38.4,17.6,-8.8
0.00613,36,18.4,-8.8
0.00613,35.2,18.4,-9
0.00614,33.6,18.4,-8.8
0.00614,32.8,20,-9
0.00615,32,20,-8.8
0.00615,32,21.6,-8.8
0.00615,30.4,23.2,-8.8
0.00616,30.4,22.4,-9
0.00616,30.4,23.2,-9
0.00617,28.8,24,-9
0.00617,28,24.8,-8.8
0.00617,28,25.6,-9
0.00618,26.4,26.4,-9
0.00618,24.8,27.2,-9
0.00619,23.2,26.4,-9
0.00619,24,28,-9
0.0062,23.2,29.6,-9
0.0062,20.8,28.8,-9
0.0062,21.6,29.6,-9
0.00621,20.8,31.2,-9
0.00621,19.2,31.2,-9
0.00622,17.6,32,-9
0.00622,18.4,31.2,-8.8
0.00622,17.6,33.6,-9
0.00623,17.6,34.4,-9
0.00623,16.8,34.4,-9
0.00624,16.8,34.4,-9
0.00624,13.6,36,-8.8
0.00624,14.4,36.8,-9
0.00625,12.8,37.6,-9
0.00625,12,36.8,-8.8
0.00626,10.4,38.4,-8.8
0.00626,10.4,38.4,-9
0.00626,10.4,39.2,-9
0.00627,9.6,39.2,-9
0.00627,8.8,39.2,-8.8
0.00628,8.8,41.6,-9
0.00628,8.8,41.6,-9
0.00628,8.8,43.2,-9
0.00629,7.2,43.2,-9
0.00629,8,43.2,-9
0.0063,6.4,44,-9
0.0063,7.2,46.4,-8.8
0.0063,5.6,46.4,-9
0.00631,4.8,48.8,-9
0.00631,4.8,47.2,-9.2
0.00632,4.8,48,-9
0.00632,5.6,48,-9
0.00632,4.8,49.6,-9
0.00633,3.2,48.8,-8.8
0.00633,3.2,48.8,-9
0.00634,2.4,48,-9
0.00634,2.4,51.2,-9
0.00634,1.6,50.4,-9
0.00635,1.6,51.2,-8.8
0.00635,2.4,50.4,-9
0.00636,2.4,51.2,-8.8
0.00636,0.8,50.4,-9
0.00638,-0.8,51.2,-8.8
0.00638,-0.8,49.6,-8.8
0.00639,-0.8,50.4,-8.8
0.0064,-1.6,50.4,-8.8
0.0064,-1.6,52,-9
0.0064,-3.2,51.2,-9
0.00641,-2.4,52,-9
0.00641,-4,51.2,-8.8
0.00641,-2.4,51.2,-9
0.00642,-2.4,50.4,-8.8
0.00642,-4,51.2,-9
0.00643,-3.2,49.6,-9
0.00643,-4,50.4,-9
0.00644,-4,49.6,-8.8
0.00644,-6.4,51.2,-8.8
0.00644,-5.6,50.4,-9
0.00645,-2.4,50.4,-8.8
0.00645,-4.8,50.4,-9
0.00645,-4,51.2,-9
0.00646,-5.6,52,-8.8
0.00646,-4.8,52.8,-9
0.00647,-4.8,50.4,-8.8
0.00647,-5.6,52,-9
0.00648,-6.4,51.2,-9
0.00648,-5.6,52,-9
0.00648,-6.4,52.8,-9
0.00649,-6.4,52.8,-8.8
0.00649,-6.4,51.2,-9.2
0.00649,-5.6,52.8,-9
0.0065,-6.4,51.2,-9
0.0065,-6.4,52.8,-9
0.00651,-6.4,52.8,-8.8
0.00651,-7.2,52.8,-9
0.00652,-6.4,52.8,-9
0.00652,-7.2,52.8,-9
0.00652,-5.6,52.8,-9
0.00653,-6.4,52.8,-9
0.00653,-7.2,52.8,-8.8
0.00654,-6.4,52.8,-8.8
0.00654,-6.4,52.8,-9
0.00654,-5.6,52,-9
0.00655,-5.6,52.8,-9
0.00655,-5.6,52.8,-9
0.00656,-4.8,52.8,-9
0.00656,-5.6,52.8,-9
0.00656,-4,53.6,-9
0.00657,-4,52.8,-8.8
0.00657,-4.8,52.8,-8.8
0.00658,-4.8,52,-8.6
0.00658,-3.2,52.8,-8.8
0.00658,-4,52,-8.8
0.00659,-3.2,52.8,-9
0.00659,-4,52.8,-8.8
0.0066,-2.4,52.8,-9
0.0066,-3.2,51.2,-9
0.0066,-2.4,52,-8.8
0.00661,-2.4,52.8,-8.8
0.00662,-0.8,52,-9
0.00663,0.8,51.2,-8.8
0.00664,2.4,52,-9
0.00664,2.4,51.2,-9
0.00664,2.4,49.6,-9
0.00665,4,50.4,-9
0.00665,4,50.4,-9
0.00666,4.8,49.6,-9
0.00666,5.6,48.8,-9
0.00666,6.4,48,-9
0.00667,7.2,47.2,-9
0.00667,8,46.4,-9
0.00668,7.2,47.2,-9
0.00668,8,47.2,-9
0.00668,8.8,46.4,-9
0.00669,9.6,46.4,-9
0.00669,8.8,43.2,-9
0.0067,9.6,44,-8.8
0.0067,8.8,44,-8.8
0.0067,10.4,43.2,-9
0.00671,9.6,42.4,-9
0.00671,10.4,43.2,-8.8
0.00671,10.4,40,-9
0.00672,11.2,41.6,-9
0.00672,11.2,40.8,-9
0.00673,11.2,42.4,-8.8
0.00673,12.8,39.2,-8.8
0.00673,12.8,40.8,-9
0.00674,12,39.2,-9
0.00674,13.6,38.4,-9
0.00675,14.4,38.4,-8.8
0.00675,15.2,38.4,-9
0.00675,16,37.6,-8.8
0.00676,15.2,38.4,-9
0.00676,16.8,38.4,-9
0.00677,17.6,37.6,-8.8
0.00677,16.8,36,-9
0.00677,18.4,36.8,-9
