tiempo (s),señal CH1a (mV),señal CH1b (mV),señal CH2 (V)
0.000739,24.8,27.2,-14.4
0.000743,24.8,24.8,-14.4
0.000747,24.8,25.6,-14.4
0.000751,24.8,25.6,-14.4
0.000755,24.8,26.4,-14.4
0.000759,24.8,24.8,-14.6
0.000763,24.8,27.2,-14.2
0.000767,24,26.4,-14.4
0.000771,24.8,26.4,-14.4
0.000775,24.8,25.6,-14.4
0.000779,24,24.8,-14.4
0.000783,24.8,24.8,-14.6
0.000787,24,24.8,-14.4
0.000791,24.8,25.6,-14.4
0.000795,24,24.8,-14.4
0.000799,25.6,24.8,-14.6
0.000803,24.8,26.4,-14.2
0.000807,25.6,25.6,-14.6
0.000811,25.6,25.6,-14.4
0.000815,24.8,25.6,-14.6
0.000819,24.8,24.8,-14.2
0.000823,24.8,25.6,-14.6
0.000827,24,25.6,-14.2
0.000831,24.8,28.8,-14.4
0.000835,24.8,24.8,-14.2
0.000839,25.6,25.6,-14.4
0.000843,24.8,24.8,-14.6
0.000847,24.8,26.4,-14.4
0.000851,24.8,25.6,-14.4
0.000855,24.8,25.6,-14.4
0.000859,24,24.8,-14.4
0.000863,24,26.4,-14.2
0.000867,24,24.8,-14.2
0.000871,24.8,25.6,-14.4
0.000875,24,24.8,-14.4
0.000879,24,27.2,-14.4
0.000883,24.8,25.6,-14.2
0.000887,24.8,26.4,-14.2
0.000891,23.2,24.8,-14.4
0.000895,24.8,24.8,-14.4
0.000899,24,26.4,-14.4
0.000903,24.8,27.2,-14.4
0.000907,24.8,24.8,-14.4
0.000911,24,27.2,-14.6
0.000915,24,27.2,-14.4
0.000919,24,24.8,-14.4
0.000923,24,25.6,-14.6
0.000927,24,26.4,-14.4
0.000931,23.2,26.4,-14.4
0.000935,23.2,25.6,-14.2
0.000939,22.4,25.6,-14.4
0.000943,22.4,24.8,-14.4
0.000947,22.4,25.6,-14.4
0.000951,23.2,24.8,-14.6
0.000955,24.8,27.2,-14.4
0.000959,22.4,26.4,-14.4
0.000963,24,27.2,-14.6
0.000967,23.2,25.6,-14.2
0.000971,22.4,26.4,-14.4
0.000975,23.2,24.8,-14.4
0.000979,23.2,27.2,-14.4
0.000983,22.4,24.8,-14.4
0.000987,23.2,25.6,-14.4
0.000991,23.2,26.4,-14.4
0.000995,24,26.4,-14.2
0.000999,24,25.6,-14.4
0.001,23.2,25.6,-14.4
0.00101,24,25.6,-14.6
0.00101,23.2,26.4,-14.6
0.00101,24,25.6,-14.4
0.00102,23.2,26.4,-14.2
0.00102,24.8,25.6,-14.2
0.00103,24,27.2,-14.2
0.00103,24.8,25.6,-14.4
0.00103,22.4,25.6,-14.4
0.00104,24.8,24.8,-14.4
0.00104,24,27.2,-14.2
0.00105,24.8,27.2,-14.2
0.00105,23.2,26.4,-14.4
0.00105,25.6,25.6,-14.4
0.00106,24.8,25.6,-14.4
0.00106,26.4,26.4,-14.4
0.00107,24.8,26.4,-14.6
0.00107,26.4,26.4,-14.4
0.00108,26.4,27.2,-14.4
0.00108,27.2,25.6,-14.4
0.00108,26.4,25.6,-14.2
0.00109,27.2,26.4,-14.4
0.00109,26.4,26.4,-14.2
0.0011,26.4,25.6,-14.4
0.0011,25.6,24.8,-14.2
0.0011,25.6,28,-14.6
0.00111,26.4,26.4,-14.4
0.00111,27.2,26.4,-14.4
0.00112,26.4,25.6,-14.4
0.00112,27.2,25.6,-14.4
0.00112,26.4,25.6,-14.4
0.00113,27.2,27.2,-14.4
0.00113,25.6,24.8,-14.6
0.00113,25.6,24.8,-14.4
0.00114,27.2,25.6,-14.2
0.00114,28,24.8,-14.4
0.00115,28,24.8,-14.4
0.00115,28,26.4,-14.4
0.00116,27.2,25.6,-14.2
0.00116,25.6,24.8,-14.4
0.00116,27.2,24.8,-14.6
0.00117,27.2,24.8,-14.4
0.00117,26.4,24.8,-14.4
0.00118,25.6,24.8,-14.2
0.00118,27.2,24.8,-14.4
0.00118,25.6,24.8,-14.4
0.00119,27.2,24.8,-14.4
0.00119,26.4,25.6,-14.4
0.0012,26.4,24.8,-14.4
0.0012,26.4,24.8,-14.2
0.0012,28,24.8,-14.4
0.00121,26.4,24.8,-14.4
0.00121,25.6,24.8,-14.6
0.00121,25.6,24.8,-14.6
0.00122,28,24.8,-14.2
0.00122,24.8,24.8,-14.4
0.00123,25.6,24,-14.4
0.00123,24.8,24,-14.4
0.00123,25.6,24,-14.6
0.00124,25.6,23.2,-14.6
0.00124,26.4,24.8,-14.6
0.00125,25.6,22.4,-14.4
0.00125,27.2,23.2,-14.6
0.00126,25.6,24,-14.4
0.00126,25.6,24.8,-14.4
0.00126,25.6,24,-14.6
0.00127,25.6,24.8,-14.4
0.00127,24.8,23.2,-14.4
0.00128,24,24,-14.4
0.00128,24,24,-5.8
0.00128,24.8,24.8,-8
0.00129,24.8,24.8,-8.4
0.00129,24.8,24.8,-8.6
0.00129,24.8,24.8,-8.6
0.0013,23.2,24.8,-8.8
0.0013,22.4,24.8,-8.6
0.00131,22.4,24.8,-8.6
0.00131,24,24.8,-8.8
0.00132,24,24,-8.6
0.00132,24,23.2,-8.8
0.00132,22.4,24.8,-8.8
0.00133,23.2,24.8,-8.8
0.00133,23.2,25.6,-8.8
0.00134,24.8,24.8,-8.8
0.00134,22.4,23.2,-8.6
0.00134,23.2,24.8,-8.8
0.00135,23.2,24.8,-8.8
0.00135,24,24.8,-8.8
0.00136,23.2,23.2,-8.8
0.00136,22.4,24.8,-9
0.00136,23.2,24.8,-8.8
0.00137,22.4,24.8,-8.8
0.00137,22.4,24,-9
0.00137,23.2,24.8,-8.8
0.00138,21.6,24,-8.8
0.00138,22.4,27.2,-8.6
0.00139,23.2,24.8,-8.6
0.00139,22.4,24.8,-8.8
0.0014,21.6,24.8,-8.8
0.0014,22.4,26.4,-8.6
0.0014,22.4,24.8,-8.8
0.00141,23.2,26.4,-9
0.00141,23.2,24.8,-9
0.00142,22.4,26.4,-8.8
0.00142,23.2,25.6,-9
0.00142,22.4,26.4,-8.8
0.00143,22.4,25.6,-9
0.00143,22.4,25.6,-8.8
0.00144,22.4,24.8,-8.8
0.00144,22.4,25.6,-8.8
0.00144,24,25.6,-8.6
0.00145,22.4,24.8,-8.6
0.00145,23.2,24.8,-8.8
0.00145,24,26.4,-8.8
0.00146,24.8,25.6,-8.8
0.00146,24.8,24.8,-8.8
0.00147,24,25.6,-8.8
0.00147,22.4,25.6,-8.8
0.00148,24.8,25.6,-8.8
0.00148,24,26.4,-8.8
0.00148,23.2,25.6,-8.8
0.00149,24.8,26.4,-8.8
0.00149,24,26.4,-8.8
0.0015,22.4,22.4,-8.8
0.0015,23.2,25.6,-8.8
0.0015,23.2,25.6,-8.8
0.00151,23.2,26.4,-9
0.00151,23.2,24,-8.8
0.00152,23.2,25.6,-8.8
0.00152,21.6,24.8,-8.8
0.00152,23.2,25.6,-8.8
0.00153,22.4,24,-8.8
0.00153,21.6,25.6,-8.8
0.00154,21.6,23.2,-8.8
0.00154,21.6,25.6,-8.6
0.00154,23.2,24.8,-8.8
0.00155,24.8,25.6,-8.8
0.00155,23.2,23.2,-8.8
0.00156,22.4,26.4,-8.8
0.00156,24,24.8,-8.8
0.00156,22.4,26.4,-8.8
0.00157,23.2,24,-8.6
0.00157,23.2,26.4,-8.6
0.00158,23.2,25.6,-8.6
0.00158,23.2,24.8,-8.8
0.00158,24.8,25.6,-8.6
0.00159,24,25.6,-8.8
0.00159,24.8,24.8,-8.8
0.0016,24,24.8,-8.8
0.0016,24.8,24.8,-8.8
0.0016,23.2,24.8,-8.6
0.00161,24.8,24.8,-8.8
0.00161,24,24,-8.8
0.00161,24.8,24.8,-8.8
0.00162,24.8,24.8,-8.8
0.00162,24,24,-8.6
0.00163,24,24.8,-8.8
0.00163,25.6,26.4,-8.6
0.00164,24,24.8,-8.8
0.00164,24.8,25.6,-8.8
0.00164,24.8,24.8,-8.8
0.00165,25.6,25.6,-8.8
0.00165,24.8,24.8,-8.8
0.00166,24.8,24.8,-8.8
0.00166,24.8,24.8,-8.8
0.00166,26.4,24.8,-8.8
0.00167,24.8,24,-8.8
0.00167,24,26.4,-8.8
0.00168,24.8,24.8,-8.8
0.00168,25.6,26.4,-8.8
0.00168,24.8,25.6,-8.8
0.00169,24.8,24.8,-9
0.00169,24.8,24,-8.8
